ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	List1	List1.Cycle	List1.Sample	List3	List3.Cycle	List3.Sample	Procedure[Block]	Running[Block]	Trial	CardIMG1[Trial]	CardIMG2[Trial]	CardIMG3[Trial]	CardIMG4[Trial]	CardStim[Trial]	Category	CorrectAnswer[Trial]	FeedbackDisplay2.ACC	FeedbackDisplay2.CRESP	FeedbackDisplay2.DurationError	FeedbackDisplay2.OnsetDelay	FeedbackDisplay2.OnsetTime	FeedbackDisplay2.OnsetToOnsetTime	FeedbackDisplay2.RESP	FeedbackDisplay2.RT	FeedbackDisplay2.RTTime	List2	List2.Cycle	List2.Sample	List4	List4.Cycle	List4.Sample	PracticeList	PracticeList.Cycle	PracticeList.Sample	Procedure[Trial]	Running[Trial]	Slide5.ACC	Slide5.CRESP	Slide5.DurationError	Slide5.OnsetDelay	Slide5.OnsetTime	Slide5.OnsetToOnsetTime	Slide5.RESP	Slide5.RT	SubTrial	CardIMG1[SubTrial]	CardIMG2[SubTrial]	CardIMG3[SubTrial]	CardIMG4[SubTrial]	CardStim[SubTrial]	ColorList	ColorList.Cycle	ColorList.Sample	ColorList2	ColorList2.Cycle	ColorList2.Sample	CorrectAnswer[SubTrial]	NonPerseverativeError	NumberList	NumberList.Cycle	NumberList.Sample	NumberList1	NumberList1.Cycle	NumberList1.Sample	PerseverativeError	Procedure[SubTrial]	Running[SubTrial]	ShapeList	ShapeList.Cycle	ShapeList.Sample	ShapeList1	ShapeList1.Cycle	ShapeList1.Sample	Stimulus.ACC	Stimulus.CRESP	Stimulus.DurationError	Stimulus.OnsetDelay	Stimulus.OnsetTime	Stimulus.OnsetToOnsetTime	Stimulus.RESP	Stimulus.RT	TrialType
Wisconsin	1175	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">7031787886</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1175-2	59.957	1.0.0.546	1	-1557561557	Professional	2.0.10.356	2.0.10.356	12-19-2022	12/19/2022 3:44:44 AM	11:44:44	2.0.10.252	1	1	1	1				Practicebloc	List1	1	Button1.png	Button2.png	Button3.png	Button4.png	Greencircle3.png	顏色	z	0		0	20	163511	0		0	0							1	1	1	PracticeTrialProc	PracticeList	0	z	0	1	158491	5020		0																																						
Wisconsin	1175	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">7031787886</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1175-2	59.957	1.0.0.546	1	-1557561557	Professional	2.0.10.356	2.0.10.356	12-19-2022	12/19/2022 3:44:44 AM	11:44:44	2.0.10.252	1	1	1	1				Practicebloc	List1	2	Button1.png	Button2.png	Button3.png	Button4.png	Redstar2.png	顏色	c	0		0	20	171083	0		0	0							2	1	2	PracticeTrialProc	PracticeList	0	c	0	1	166063	5020		0																																						
Wisconsin	1175	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">7031787886</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1175-2	59.957	1.0.0.546	1	-1557561557	Professional	2.0.10.356	2.0.10.356	12-19-2022	12/19/2022 3:44:44 AM	11:44:44	2.0.10.252	1	1	1	1				Practicebloc	List1	3	Button1.png	Button2.png	Button3.png	Button4.png	Bluetriangle1.png	形狀	x	0		0	21	178656	0		0	0							3	1	3	PracticeTrialProc	PracticeList	0	x	0	0	173635	5021		0																																						
Wisconsin	1175	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">7031787886</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1175-2	59.957	1.0.0.546	1	-1557561557	Professional	2.0.10.356	2.0.10.356	12-19-2022	12/19/2022 3:44:44 AM	11:44:44	2.0.10.252	1	1	1	1				Practicebloc	List1	4	Button1.png	Button2.png	Button3.png	Button4.png	greenstar2.png	形狀	v	0		0	21	186228	0		0	0							4	1	4	PracticeTrialProc	PracticeList	0	v	1	0	181207	5021		0																																						
Wisconsin	1175	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">7031787886</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1175-2	59.957	1.0.0.546	1	-1557561557	Professional	2.0.10.356	2.0.10.356	12-19-2022	12/19/2022 3:44:44 AM	11:44:44	2.0.10.252	1	1	1	1				Practicebloc	List1	5	Button1.png	Button2.png	Button3.png	Button4.png	BlueCross4.png	數目	x	0		0	16	192482	0		0	0							5	1	5	PracticeTrialProc	PracticeList	0	x	0	1	188780	0	v	3682																																						
Wisconsin	1175	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">7031787886</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1175-2	59.957	1.0.0.546	1	-1557561557	Professional	2.0.10.356	2.0.10.356	12-19-2022	12/19/2022 3:44:44 AM	11:44:44	2.0.10.252	1	1	1	1				Practicebloc	List1	6	Button1.png	Button2.png	Button3.png	Button4.png	yellowcircle2.png	數目	z	0		0	23	198437	0		0	0							6	1	6	PracticeTrialProc	PracticeList	0	z	0	1	195034	0	x	3379																																						
Wisconsin	1175	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">7031787886</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1175-2	59.957	1.0.0.546	1	-1557561557	Professional	2.0.10.356	2.0.10.356	12-19-2022	12/19/2022 3:44:44 AM	11:44:44	2.0.10.252	2				2	1	1	BlockProc2	List3	1																				2	1	1				NumberProc2	List4									1	Button1.png	Button2.png	Button3.png	Button4.png	Yellowtriangle2.png							z	0				10	1	1	0	TrialProc	NumberList1							1	z	0	1	224839	0	z	6485	number
Wisconsin	1175	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">7031787886</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1175-2	59.957	1.0.0.546	1	-1557561557	Professional	2.0.10.356	2.0.10.356	12-19-2022	12/19/2022 3:44:44 AM	11:44:44	2.0.10.252	2				2	1	1	BlockProc2	List3	1																				2	1	1				NumberProc2	List4									2	Button1.png	Button2.png	Button3.png	Button4.png	Redstar1.png							v	1				6	1	2	0	TrialProc	NumberList1							0	v	0	0	233862	0	c	7509	number
Wisconsin	1175	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">7031787886</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1175-2	59.957	1.0.0.546	1	-1557561557	Professional	2.0.10.356	2.0.10.356	12-19-2022	12/19/2022 3:44:44 AM	11:44:44	2.0.10.252	2				2	1	1	BlockProc2	List3	1																				2	1	1				NumberProc2	List4									3	Button1.png	Button2.png	Button3.png	Button4.png	Redtriangle2.png							z	1				7	1	3	0	TrialProc	NumberList1							0	z	0	1	243920	0	c	5547	number
Wisconsin	1175	2	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929853</Frequency><Timestamp dt:dt="r8">7031787886</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-19T03:44:44Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1175-2	59.957	1.0.0.546	1	-1557561557	Professional	2.0.10.356	2.0.10.356	12-19-2022	12/19/2022 3:44:44 AM	11:44:44	2.0.10.252	2				2	1	1	BlockProc2	List3	1																				2	1	1				NumberProc2	List4									4	Button1.png	Button2.png	Button3.png	Button4.png	Greencross2.png							z	1				4	1	4	0	TrialProc	NumberList1							0	z	0	1	252009	0	x	6465	number
