ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	List1	List1.Cycle	List1.Sample	List3	List3.Cycle	List3.Sample	Procedure[Block]	Running[Block]	Trial	CardIMG1[Trial]	CardIMG2[Trial]	CardIMG3[Trial]	CardIMG4[Trial]	CardStim[Trial]	Category	CorrectAnswer[Trial]	FeedbackDisplay2.ACC	FeedbackDisplay2.CRESP	FeedbackDisplay2.DurationError	FeedbackDisplay2.OnsetDelay	FeedbackDisplay2.OnsetTime	FeedbackDisplay2.OnsetToOnsetTime	FeedbackDisplay2.RESP	FeedbackDisplay2.RT	FeedbackDisplay2.RTTime	List2	List2.Cycle	List2.Sample	List4	List4.Cycle	List4.Sample	PracticeList	PracticeList.Cycle	PracticeList.Sample	Procedure[Trial]	Running[Trial]	Slide5.ACC	Slide5.CRESP	Slide5.DurationError	Slide5.OnsetDelay	Slide5.OnsetTime	Slide5.OnsetToOnsetTime	Slide5.RESP	Slide5.RT	SubTrial	CardIMG1[SubTrial]	CardIMG2[SubTrial]	CardIMG3[SubTrial]	CardIMG4[SubTrial]	CardStim[SubTrial]	ColorList	ColorList.Cycle	ColorList.Sample	ColorList2	ColorList2.Cycle	ColorList2.Sample	CorrectAnswer[SubTrial]	NonPerseverativeError	NumberList	NumberList.Cycle	NumberList.Sample	NumberList1	NumberList1.Cycle	NumberList1.Sample	PerseverativeError	Procedure[SubTrial]	Running[SubTrial]	ShapeList	ShapeList.Cycle	ShapeList.Sample	ShapeList1	ShapeList1.Cycle	ShapeList1.Sample	Stimulus.ACC	Stimulus.CRESP	Stimulus.DurationError	Stimulus.OnsetDelay	Stimulus.OnsetTime	Stimulus.OnsetToOnsetTime	Stimulus.RESP	Stimulus.RT	TrialType
Wisconsin	1171	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">57343128828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1171-1	59.957	1.0.0.531	1	1509108522	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 7:15:46 AM	15:15:46	2.0.10.252	1	1	1	1				Practicebloc	List1	1	Button1.png	Button2.png	Button3.png	Button4.png	Greencircle3.png	顏色	z	0		0	16	60740	0		0	0							1	1	1	PracticeTrialProc	PracticeList	1	z	0	1	59772	0	z	950																																						
Wisconsin	1171	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">57343128828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1171-1	59.957	1.0.0.531	1	1509108522	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 7:15:46 AM	15:15:46	2.0.10.252	1	1	1	1				Practicebloc	List1	2	Button1.png	Button2.png	Button3.png	Button4.png	Redstar2.png	顏色	c	0		0	11	65726	0		0	0							2	1	2	PracticeTrialProc	PracticeList	1	c	0	0	63291	0	c	2422																																						
Wisconsin	1171	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">57343128828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1171-1	59.957	1.0.0.531	1	1509108522	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 7:15:46 AM	15:15:46	2.0.10.252	1	1	1	1				Practicebloc	List1	3	Button1.png	Button2.png	Button3.png	Button4.png	Bluetriangle1.png	形狀	x	0		0	17	69846	0		0	0							3	1	3	PracticeTrialProc	PracticeList	0	x	0	0	68278	0	v	1547																																						
Wisconsin	1171	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">57343128828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1171-1	59.957	1.0.0.531	1	1509108522	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 7:15:46 AM	15:15:46	2.0.10.252	1	1	1	1				Practicebloc	List1	4	Button1.png	Button2.png	Button3.png	Button4.png	greenstar2.png	形狀	v	0		0	26	75150	0		0	0							4	1	4	PracticeTrialProc	PracticeList	1	v	0	1	72398	0	v	2723																																						
Wisconsin	1171	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">57343128828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1171-1	59.957	1.0.0.531	1	1509108522	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 7:15:46 AM	15:15:46	2.0.10.252	1	1	1	1				Practicebloc	List1	5	Button1.png	Button2.png	Button3.png	Button4.png	BlueCross4.png	數目	x	0		0	13	82305	0		0	0							5	1	5	PracticeTrialProc	PracticeList	0	x	0	1	77702	0	v	4586																																						
Wisconsin	1171	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">57343128828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1171-1	59.957	1.0.0.531	1	1509108522	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 7:15:46 AM	15:15:46	2.0.10.252	1	1	1	1				Practicebloc	List1	6	Button1.png	Button2.png	Button3.png	Button4.png	yellowcircle2.png	數目	z	0		0	16	86692	0		0	0							6	1	6	PracticeTrialProc	PracticeList	1	z	0	1	84857	0	z	1815																																						
Wisconsin	1171	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">57343128828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1171-1	59.957	1.0.0.531	1	1509108522	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 7:15:46 AM	15:15:46	2.0.10.252	2				1	1	1	BlockProc	List3	1																	1	1	1							ColorProc	List2									1	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	greenstar2.png	5	1	1				z	1							0	TrialProc	ColorList							0	z	0	0	140580	0	v	2057	color
Wisconsin	1171	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">57343128828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1171-1	59.957	1.0.0.531	1	1509108522	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 7:15:46 AM	15:15:46	2.0.10.252	2				1	1	1	BlockProc	List3	1																	1	1	1							ColorProc	List2									2	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	greentriangle1.png	6	1	2				z	1							0	TrialProc	ColorList							0	z	0	1	145184	0	x	2556	color
Wisconsin	1171	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">57343128828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1171-1	59.957	1.0.0.531	1	1509108522	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 7:15:46 AM	15:15:46	2.0.10.252	2				1	1	1	BlockProc	List3	1																	1	1	1							ColorProc	List2									3	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	bluecross2.png	2	1	3				v	1							0	TrialProc	ColorList							0	v	0	1	150271	0	c	3149	color
Wisconsin	1171	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">57343128828</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T07:15:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1171-1	59.957	1.0.0.531	1	1509108522	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 7:15:46 AM	15:15:46	2.0.10.252	2				1	1	1	BlockProc	List3	1																	1	1	1							ColorProc	List2									4	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	greencircle3.png	4	1	4				z	0							0	TrialProc	ColorList							1	z	0	1	155958	0	z	790	color
