ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	Slide1.DEVICE	Slide2.DEVICE	Slide3.DEVICE	StudioVersion	Welcome.DEVICE	Block	GetReady.DEVICE	List1	List1.Cycle	List1.Sample	List2	List2.Cycle	List2.Sample	PracticeReady.DEVICE	Procedure[Block]	Running[Block]	Trial	CardIMG1[Trial]	CardIMG2[Trial]	CardIMG3[Trial]	CardIMG4[Trial]	CardStim[Trial]	Category	CorrectAnswer[Trial]	List3	List3.Cycle	List3.Sample	List4	List4.Cycle	List4.Sample	PracticeList	PracticeList.Cycle	PracticeList.Sample	Procedure[Trial]	Running[Trial]	Slide4.ACC	Slide4.CRESP	Slide4.DEVICE	Slide4.DurationError	Slide4.OnsetDelay	Slide4.OnsetTime	Slide4.OnsetToOnsetTime	Slide4.RESP	Slide4.RT	Slide4.RTTime	SubTrial	CardIMG1[SubTrial]	CardIMG2[SubTrial]	CardIMG3[SubTrial]	CardIMG4[SubTrial]	CardStim[SubTrial]	ColorList	ColorList.Cycle	ColorList.Sample	ColorList2	ColorList2.Cycle	ColorList2.Sample	CorrectAnswer[SubTrial]	NonPerseverativeError	NumberList	NumberList.Cycle	NumberList.Sample	NumberList2	NumberList2.Cycle	NumberList2.Sample	PerseverativeError	Procedure[SubTrial]	Running[SubTrial]	ShapeList	ShapeList.Cycle	ShapeList.Sample	ShapeList2	ShapeList2.Cycle	ShapeList2.Sample	Slide5.ACC	Slide5.CRESP	Slide5.DEVICE	Slide5.DurationError	Slide5.OnsetDelay	Slide5.OnsetTime	Slide5.OnsetToOnsetTime	Slide5.RESP	Slide5.RT	Slide5.RTTime	TrialType
Wisconsin	1172	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23457159188256</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1172-3	60.014	1.0.0.255	1	-1949571063	Full	3.0.3.80	3.0.3.80	01-13-2023	1/13/2023 9:34:10 AM	17:34:10	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	1	Keyboard	1	1	1				Keyboard	Practiceploc	List1	1	Button1.png	Button2.png	Button3.png	Button4.png	Greencircle3.png	顏色	{button1}							1	1	1	PracticeTrialProc	PracticeList	1	{button1}	Button	2	49	59601	0	{Button1}	3595	63196																																								
Wisconsin	1172	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23457159188256</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1172-3	60.014	1.0.0.255	1	-1949571063	Full	3.0.3.80	3.0.3.80	01-13-2023	1/13/2023 9:34:10 AM	17:34:10	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	1	Keyboard	1	1	1				Keyboard	Practiceploc	List1	2	Button1.png	Button2.png	Button3.png	Button4.png	Redstar2.png	顏色	{button3}							2	1	2	PracticeTrialProc	PracticeList	1	{button3}	Button	1	34	65817	0	{Button3}	1539	67356																																								
Wisconsin	1172	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23457159188256</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1172-3	60.014	1.0.0.255	1	-1949571063	Full	3.0.3.80	3.0.3.80	01-13-2023	1/13/2023 9:34:10 AM	17:34:10	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	1	Keyboard	1	1	1				Keyboard	Practiceploc	List1	3	Button1.png	Button2.png	Button3.png	Button4.png	Bluetriangle1.png	形狀	{button2}							3	1	3	PracticeTrialProc	PracticeList	1	{button2}	Button	15	50	69949	0	{Button2}	1631	71580																																								
Wisconsin	1172	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23457159188256</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1172-3	60.014	1.0.0.255	1	-1949571063	Full	3.0.3.80	3.0.3.80	01-13-2023	1/13/2023 9:34:10 AM	17:34:10	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	1	Keyboard	1	1	1				Keyboard	Practiceploc	List1	4	Button1.png	Button2.png	Button3.png	Button4.png	greenstar2.png	形狀	{Button4}							4	1	4	PracticeTrialProc	PracticeList	1	{Button4}	Button	18	67	74198	0	{Button4}	2054	76252																																								
Wisconsin	1172	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23457159188256</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1172-3	60.014	1.0.0.255	1	-1949571063	Full	3.0.3.80	3.0.3.80	01-13-2023	1/13/2023 9:34:10 AM	17:34:10	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	1	Keyboard	1	1	1				Keyboard	Practiceploc	List1	5	Button1.png	Button2.png	Button3.png	Button4.png	BlueCross4.png	圖案數目	{Button2}							5	1	5	PracticeTrialProc	PracticeList	1	{Button2}	Button	15	49	78863	0	{Button2}	1565	80428																																								
Wisconsin	1172	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23457159188256</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1172-3	60.014	1.0.0.255	1	-1949571063	Full	3.0.3.80	3.0.3.80	01-13-2023	1/13/2023 9:34:10 AM	17:34:10	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	1	Keyboard	1	1	1				Keyboard	Practiceploc	List1	6	Button1.png	Button2.png	Button3.png	Button4.png	yellowcircle2.png	圖案數目	{Button1}							6	1	6	PracticeTrialProc	PracticeList	1	{Button1}	Button	2	33	83012	0	{Button1}	1873	84885																																								
Wisconsin	1172	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23457159188256</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1172-3	60.014	1.0.0.255	1	-1949571063	Full	3.0.3.80	3.0.3.80	01-13-2023	1/13/2023 9:34:10 AM	17:34:10	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	2					2	1	1		BlockProc2	List2	1											1	1	1				ColorProc2	List4											1	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	yellowtriangle3.png				10	1	1	{Button2}	0							0	TrialProc	ColorList2							1	{Button2}	Button	2	33	103141	0	{Button2}	1383	104524	color
Wisconsin	1172	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23457159188256</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1172-3	60.014	1.0.0.255	1	-1949571063	Full	3.0.3.80	3.0.3.80	01-13-2023	1/13/2023 9:34:10 AM	17:34:10	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	2					2	1	1		BlockProc2	List2	1											1	1	1				ColorProc2	List4											2	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	Greencircle1.png				3	1	2	{Button1}	0							0	TrialProc	ColorList2							1	{Button1}	Button	11	50	107123	0	{Button1}	1185	108308	color
Wisconsin	1172	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23457159188256</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1172-3	60.014	1.0.0.255	1	-1949571063	Full	3.0.3.80	3.0.3.80	01-13-2023	1/13/2023 9:34:10 AM	17:34:10	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	2					2	1	1		BlockProc2	List2	1											1	1	1				ColorProc2	List4											3	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	greenstar4.png				5	1	3	{Button1}	0							0	TrialProc	ColorList2							1	{Button1}	Button	9	50	110906	0	{Button1}	1130	112036	color
Wisconsin	1172	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">23457159188256</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2023-01-13T09:34:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1172-3	60.014	1.0.0.255	1	-1949571063	Full	3.0.3.80	3.0.3.80	01-13-2023	1/13/2023 9:34:10 AM	17:34:10	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	2					2	1	1		BlockProc2	List2	1											1	1	1				ColorProc2	List4											4	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	Redcircle2.png				7	1	4	{Button3}	0							0	TrialProc	ColorList2							1	{Button3}	Button	9	50	114638	0	{Button3}	1174	115812	color
