ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	Slide1.DEVICE	Slide2.DEVICE	Slide3.DEVICE	StudioVersion	Welcome.DEVICE	Block	GetReady.DEVICE	List1	List1.Cycle	List1.Sample	List2	List2.Cycle	List2.Sample	PracticeReady.DEVICE	Procedure[Block]	Running[Block]	Trial	CardIMG1[Trial]	CardIMG2[Trial]	CardIMG3[Trial]	CardIMG4[Trial]	CardStim[Trial]	Category	CorrectAnswer[Trial]	List3	List3.Cycle	List3.Sample	List4	List4.Cycle	List4.Sample	PracticeList	PracticeList.Cycle	PracticeList.Sample	Procedure[Trial]	Running[Trial]	Slide4.ACC	Slide4.CRESP	Slide4.DEVICE	Slide4.DurationError	Slide4.OnsetDelay	Slide4.OnsetTime	Slide4.OnsetToOnsetTime	Slide4.RESP	Slide4.RT	Slide4.RTTime	SubTrial	CardIMG1[SubTrial]	CardIMG2[SubTrial]	CardIMG3[SubTrial]	CardIMG4[SubTrial]	CardStim[SubTrial]	ColorList	ColorList.Cycle	ColorList.Sample	ColorList2	ColorList2.Cycle	ColorList2.Sample	CorrectAnswer[SubTrial]	NonPerseverativeError	NumberList	NumberList.Cycle	NumberList.Sample	NumberList2	NumberList2.Cycle	NumberList2.Sample	PerseverativeError	Procedure[SubTrial]	Running[SubTrial]	ShapeList	ShapeList.Cycle	ShapeList.Sample	ShapeList2	ShapeList2.Cycle	ShapeList2.Sample	Slide5.ACC	Slide5.CRESP	Slide5.DEVICE	Slide5.DurationError	Slide5.OnsetDelay	Slide5.OnsetTime	Slide5.OnsetToOnsetTime	Slide5.RESP	Slide5.RT	Slide5.RTTime	TrialType
Wisconsin	1168	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">1733145470703</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1168-3	60.015	1.0.0.243	1	-2018261085	Full	3.0.3.80	3.0.3.80	11-26-2022	11/26/2022 9:50:47 AM	17:50:47	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	1	Keyboard	1	1	1				Keyboard	Practiceploc	List1	1	Button1.png	Button2.png	Button3.png	Button4.png	Greencircle3.png	顏色	{button1}							1	1	1	PracticeTrialProc	PracticeList	1	{button1}	Button	2	50	19410	0	{Button1}	2010	21420																																								
Wisconsin	1168	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">1733145470703</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1168-3	60.015	1.0.0.243	1	-2018261085	Full	3.0.3.80	3.0.3.80	11-26-2022	11/26/2022 9:50:47 AM	17:50:47	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	1	Keyboard	1	1	1				Keyboard	Practiceploc	List1	2	Button1.png	Button2.png	Button3.png	Button4.png	Redstar2.png	顏色	{button3}							2	1	2	PracticeTrialProc	PracticeList	1	{button3}	Button	10	50	24009	0	{Button3}	1099	25108																																								
Wisconsin	1168	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">1733145470703</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1168-3	60.015	1.0.0.243	1	-2018261085	Full	3.0.3.80	3.0.3.80	11-26-2022	11/26/2022 9:50:47 AM	17:50:47	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	1	Keyboard	1	1	1				Keyboard	Practiceploc	List1	3	Button1.png	Button2.png	Button3.png	Button4.png	Bluetriangle1.png	形狀	{button2}							3	1	3	PracticeTrialProc	PracticeList	1	{button2}	Button	9	33	27691	0	{Button2}	1489	29180																																								
Wisconsin	1168	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">1733145470703</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1168-3	60.015	1.0.0.243	1	-2018261085	Full	3.0.3.80	3.0.3.80	11-26-2022	11/26/2022 9:50:47 AM	17:50:47	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	1	Keyboard	1	1	1				Keyboard	Practiceploc	List1	4	Button1.png	Button2.png	Button3.png	Button4.png	greenstar2.png	形狀	{Button4}							4	1	4	PracticeTrialProc	PracticeList	1	{Button4}	Button	9	50	31774	0	{Button4}	1774	33548																																								
Wisconsin	1168	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">1733145470703</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1168-3	60.015	1.0.0.243	1	-2018261085	Full	3.0.3.80	3.0.3.80	11-26-2022	11/26/2022 9:50:47 AM	17:50:47	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	1	Keyboard	1	1	1				Keyboard	Practiceploc	List1	5	Button1.png	Button2.png	Button3.png	Button4.png	BlueCross4.png	圖案數目	{Button2}							5	1	5	PracticeTrialProc	PracticeList	1	{Button2}	Button	2	50	36139	0	{Button2}	1401	37540																																								
Wisconsin	1168	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">1733145470703</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1168-3	60.015	1.0.0.243	1	-2018261085	Full	3.0.3.80	3.0.3.80	11-26-2022	11/26/2022 9:50:47 AM	17:50:47	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	1	Keyboard	1	1	1				Keyboard	Practiceploc	List1	6	Button1.png	Button2.png	Button3.png	Button4.png	yellowcircle2.png	圖案數目	{Button1}							6	1	6	PracticeTrialProc	PracticeList	1	{Button1}	Button	9	34	40122	0	{Button1}	1282	41404																																								
Wisconsin	1168	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">1733145470703</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1168-3	60.015	1.0.0.243	1	-2018261085	Full	3.0.3.80	3.0.3.80	11-26-2022	11/26/2022 9:50:47 AM	17:50:47	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	2					1	1	1		BlockProc	List2	1								3	1	1							NumberProc	List3											1	Button1.png	Button2.png	Button3.png	Button4.png	Bluecircle4.png							{Button2}	0	1	1	1				0	TrialProc	NumberList							1	{Button2}	Button	1	33	53785	0	{Button2}	1099	54884	number
Wisconsin	1168	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">1733145470703</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1168-3	60.015	1.0.0.243	1	-2018261085	Full	3.0.3.80	3.0.3.80	11-26-2022	11/26/2022 9:50:47 AM	17:50:47	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	2					1	1	1		BlockProc	List2	1								3	1	1							NumberProc	List3											2	Button1.png	Button2.png	Button3.png	Button4.png	Bluestar2.png							{Button1}	0	2	1	2				0	TrialProc	NumberList							1	{Button1}	Button	10	50	57484	0	{Button1}	3016	60500	number
Wisconsin	1168	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">1733145470703</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1168-3	60.015	1.0.0.243	1	-2018261085	Full	3.0.3.80	3.0.3.80	11-26-2022	11/26/2022 9:50:47 AM	17:50:47	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	2					1	1	1		BlockProc	List2	1								3	1	1							NumberProc	List3											3	Button1.png	Button2.png	Button3.png	Button4.png	Bluetriangle1.png							{Button4}	0	3	1	3				0	TrialProc	NumberList							1	{Button4}	Button	1	33	63083	0	{Button4}	1329	64412	number
Wisconsin	1168	3	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">1733145470703</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-26T09:50:46Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1168-3	60.015	1.0.0.243	1	-2018261085	Full	3.0.3.80	3.0.3.80	11-26-2022	11/26/2022 9:50:47 AM	17:50:47	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	2					1	1	1		BlockProc	List2	1								3	1	1							NumberProc	List3											4	Button1.png	Button2.png	Button3.png	Button4.png	Greencircle4.png							{Button2}	0	4	1	4				0	TrialProc	NumberList							1	{Button2}	Button	2	33	66998	0	{Button2}	926	67924	number
