ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	StudioVersion	Block	List1	List1.Cycle	List1.Sample	List3	List3.Cycle	List3.Sample	Procedure[Block]	Running[Block]	Trial	CardIMG1[Trial]	CardIMG2[Trial]	CardIMG3[Trial]	CardIMG4[Trial]	CardStim[Trial]	Category	CorrectAnswer[Trial]	FeedbackDisplay2.ACC	FeedbackDisplay2.CRESP	FeedbackDisplay2.DurationError	FeedbackDisplay2.OnsetDelay	FeedbackDisplay2.OnsetTime	FeedbackDisplay2.OnsetToOnsetTime	FeedbackDisplay2.RESP	FeedbackDisplay2.RT	FeedbackDisplay2.RTTime	List2	List2.Cycle	List2.Sample	List4	List4.Cycle	List4.Sample	PracticeList	PracticeList.Cycle	PracticeList.Sample	Procedure[Trial]	Running[Trial]	Slide5.ACC	Slide5.CRESP	Slide5.DurationError	Slide5.OnsetDelay	Slide5.OnsetTime	Slide5.OnsetToOnsetTime	Slide5.RESP	Slide5.RT	SubTrial	CardIMG1[SubTrial]	CardIMG2[SubTrial]	CardIMG3[SubTrial]	CardIMG4[SubTrial]	CardStim[SubTrial]	ColorList	ColorList.Cycle	ColorList.Sample	ColorList2	ColorList2.Cycle	ColorList2.Sample	CorrectAnswer[SubTrial]	NonPerseverativeError	NumberList	NumberList.Cycle	NumberList.Sample	NumberList1	NumberList1.Cycle	NumberList1.Sample	PerseverativeError	Procedure[SubTrial]	Running[SubTrial]	ShapeList	ShapeList.Cycle	ShapeList.Sample	ShapeList1	ShapeList1.Cycle	ShapeList1.Sample	Stimulus.ACC	Stimulus.CRESP	Stimulus.DurationError	Stimulus.OnsetDelay	Stimulus.OnsetTime	Stimulus.OnsetToOnsetTime	Stimulus.RESP	Stimulus.RT	TrialType
Wisconsin	1170	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">24362710368</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1170-1	59.957	1.0.0.529	1	-1406510886	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 4:08:09 AM	12:08:09	2.0.10.252	1	1	1	1				Practicebloc	List1	1	Button1.png	Button2.png	Button3.png	Button4.png	Greencircle3.png	顏色	z	0		0	19	13806	0		0	0							1	1	1	PracticeTrialProc	PracticeList	1	z	0	0	13389	0	z	396																																						
Wisconsin	1170	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">24362710368</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1170-1	59.957	1.0.0.529	1	-1406510886	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 4:08:09 AM	12:08:09	2.0.10.252	1	1	1	1				Practicebloc	List1	2	Button1.png	Button2.png	Button3.png	Button4.png	Redstar2.png	顏色	c	0		0	17	16458	0		0	0							2	1	2	PracticeTrialProc	PracticeList	0	c	0	1	16358	0	z	83																																						
Wisconsin	1170	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">24362710368</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1170-1	59.957	1.0.0.529	1	-1406510886	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 4:08:09 AM	12:08:09	2.0.10.252	1	1	1	1				Practicebloc	List1	3	Button1.png	Button2.png	Button3.png	Button4.png	Bluetriangle1.png	形狀	x	0		0	18	19227	0		0	0							3	1	3	PracticeTrialProc	PracticeList	0	x	0	1	19010	0	z	199																																						
Wisconsin	1170	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">24362710368</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1170-1	59.957	1.0.0.529	1	-1406510886	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 4:08:09 AM	12:08:09	2.0.10.252	1	1	1	1				Practicebloc	List1	4	Button1.png	Button2.png	Button3.png	Button4.png	greenstar2.png	形狀	v	0		0	12	21862	0		0	0							4	1	4	PracticeTrialProc	PracticeList	0	v	0	1	21779	0	z	69																																						
Wisconsin	1170	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">24362710368</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1170-1	59.957	1.0.0.529	1	-1406510886	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 4:08:09 AM	12:08:09	2.0.10.252	1	1	1	1				Practicebloc	List1	5	Button1.png	Button2.png	Button3.png	Button4.png	BlueCross4.png	數目	x	0		0	15	25048	0		0	0							5	1	5	PracticeTrialProc	PracticeList	0	x	0	1	24414	0	z	618																																						
Wisconsin	1170	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">24362710368</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1170-1	59.957	1.0.0.529	1	-1406510886	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 4:08:09 AM	12:08:09	2.0.10.252	1	1	1	1				Practicebloc	List1	6	Button1.png	Button2.png	Button3.png	Button4.png	yellowcircle2.png	數目	z	0		0	26	28050	0		0	0							6	1	6	PracticeTrialProc	PracticeList	1	z	1	0	27599	0	z	425																																						
Wisconsin	1170	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">24362710368</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1170-1	59.957	1.0.0.529	1	-1406510886	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 4:08:09 AM	12:08:09	2.0.10.252	2				1	1	1	BlockProc	List3	1																	1	1	1							ColorProc	List2									1	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	redcircle3.png	8	1	1				c	0							0	TrialProc	ColorList							1	c	0	0	292273	0	c	1334	color
Wisconsin	1170	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">24362710368</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1170-1	59.957	1.0.0.529	1	-1406510886	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 4:08:09 AM	12:08:09	2.0.10.252	2				1	1	1	BlockProc	List3	1																	1	1	1							ColorProc	List2									2	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	bluecross2.png	2	1	2				v	1							0	TrialProc	ColorList							0	v	0	1	296143	0	z	2168	color
Wisconsin	1170	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">24362710368</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1170-1	59.957	1.0.0.529	1	-1406510886	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 4:08:09 AM	12:08:09	2.0.10.252	2				1	1	1	BlockProc	List3	1																	1	1	1							ColorProc	List2									3	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	yellowcircle1.png	9	1	3				x	0							0	TrialProc	ColorList							1	x	0	1	300846	0	x	729	color
Wisconsin	1170	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">2929873</Frequency><Timestamp dt:dt="r8">24362710368</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-11-12T04:08:09Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1170-1	59.957	1.0.0.529	1	-1406510886	Professional	2.0.10.356	2.0.10.356	11-12-2022	11/12/2022 4:08:09 AM	12:08:09	2.0.10.252	2				1	1	1	BlockProc	List3	1																	1	1	1							ColorProc	List2									4	BUTTON1.png	BUTTON2.PNG	BUTTON3.png	BUTTON4.png	yellowstar3.png	10	1	4				x	0							0	TrialProc	ColorList							1	x	0	0	304115	0	x	739	color
