ExperimentName	Subject	Session	Clock.Information	DataFile.Basename	Display.RefreshRate	ExperimentVersion	Group	RandomSeed	RuntimeCapabilities	RuntimeVersion	RuntimeVersionExpected	SessionDate	SessionStartDateTimeUtc	SessionTime	Slide1.DEVICE	Slide2.DEVICE	Slide3.DEVICE	StudioVersion	Welcome.DEVICE	Block	GetReady.DEVICE	List1	List1.Cycle	List1.Sample	List2	List2.Cycle	List2.Sample	PracticeReady.DEVICE	Procedure[Block]	Running[Block]	Trial	CardIMG1[Trial]	CardIMG2[Trial]	CardIMG3[Trial]	CardIMG4[Trial]	CardStim[Trial]	Category	CorrectAnswer[Trial]	List3	List3.Cycle	List3.Sample	List4	List4.Cycle	List4.Sample	PracticeList	PracticeList.Cycle	PracticeList.Sample	Procedure[Trial]	Running[Trial]	Slide4.ACC	Slide4.CRESP	Slide4.DEVICE	Slide4.DurationError	Slide4.OnsetDelay	Slide4.OnsetTime	Slide4.OnsetToOnsetTime	Slide4.RESP	Slide4.RT	Slide4.RTTime	SubTrial	CardIMG1[SubTrial]	CardIMG2[SubTrial]	CardIMG3[SubTrial]	CardIMG4[SubTrial]	CardStim[SubTrial]	ColorList	ColorList.Cycle	ColorList.Sample	ColorList2	ColorList2.Cycle	ColorList2.Sample	CorrectAnswer[SubTrial]	NonPerseverativeError	NumberList	NumberList.Cycle	NumberList.Sample	NumberList2	NumberList2.Cycle	NumberList2.Sample	PerseverativeError	Procedure[SubTrial]	Running[SubTrial]	ShapeList	ShapeList.Cycle	ShapeList.Sample	ShapeList2	ShapeList2.Cycle	ShapeList2.Sample	Slide5.ACC	Slide5.CRESP	Slide5.DEVICE	Slide5.DurationError	Slide5.OnsetDelay	Slide5.OnsetTime	Slide5.OnsetToOnsetTime	Slide5.RESP	Slide5.RT	Slide5.RTTime	TrialType
Wisconsin	1174	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">7669561261733</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1174-1	60.003	1.0.0.246	1	-1247767432	Full	3.0.3.80	3.0.3.80	12-03-2022	12/3/2022 6:44:26 AM	14:44:26	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	1	Keyboard	1	1	1				Keyboard	Practiceploc	List1	1	Button1.png	Button2.png	Button3.png	Button4.png	Greencircle3.png	顏色	{button1}							1	1	1	PracticeTrialProc	PracticeList	1	{button1}	Button	10	50	66052	0	{Button1}	1779	67831																																								
Wisconsin	1174	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">7669561261733</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1174-1	60.003	1.0.0.246	1	-1247767432	Full	3.0.3.80	3.0.3.80	12-03-2022	12/3/2022 6:44:26 AM	14:44:26	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	1	Keyboard	1	1	1				Keyboard	Practiceploc	List1	2	Button1.png	Button2.png	Button3.png	Button4.png	Redstar2.png	顏色	{button3}							2	1	2	PracticeTrialProc	PracticeList	1	{button3}	Button	10	33	70417	0	{Button3}	1598	72015																																								
Wisconsin	1174	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">7669561261733</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1174-1	60.003	1.0.0.246	1	-1247767432	Full	3.0.3.80	3.0.3.80	12-03-2022	12/3/2022 6:44:26 AM	14:44:26	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	1	Keyboard	1	1	1				Keyboard	Practiceploc	List1	3	Button1.png	Button2.png	Button3.png	Button4.png	Bluetriangle1.png	形狀	{button2}							3	1	3	PracticeTrialProc	PracticeList	1	{button2}	Button	9	33	74600	0	{Button2}	1863	76463																																								
Wisconsin	1174	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">7669561261733</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1174-1	60.003	1.0.0.246	1	-1247767432	Full	3.0.3.80	3.0.3.80	12-03-2022	12/3/2022 6:44:26 AM	14:44:26	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	1	Keyboard	1	1	1				Keyboard	Practiceploc	List1	4	Button1.png	Button2.png	Button3.png	Button4.png	greenstar2.png	形狀	{Button4}							4	1	4	PracticeTrialProc	PracticeList	1	{Button4}	Button	9	34	79049	0	{Button4}	2558	81607																																								
Wisconsin	1174	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">7669561261733</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1174-1	60.003	1.0.0.246	1	-1247767432	Full	3.0.3.80	3.0.3.80	12-03-2022	12/3/2022 6:44:26 AM	14:44:26	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	1	Keyboard	1	1	1				Keyboard	Practiceploc	List1	5	Button1.png	Button2.png	Button3.png	Button4.png	BlueCross4.png	圖案數目	{Button2}							5	1	5	PracticeTrialProc	PracticeList	1	{Button2}	Button	9	33	84181	0	{Button2}	2130	86311																																								
Wisconsin	1174	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">7669561261733</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1174-1	60.003	1.0.0.246	1	-1247767432	Full	3.0.3.80	3.0.3.80	12-03-2022	12/3/2022 6:44:26 AM	14:44:26	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	1	Keyboard	1	1	1				Keyboard	Practiceploc	List1	6	Button1.png	Button2.png	Button3.png	Button4.png	yellowcircle2.png	圖案數目	{Button1}							6	1	6	PracticeTrialProc	PracticeList	1	{Button1}	Button	10	33	88896	0	{Button1}	1743	90639																																								
Wisconsin	1174	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">7669561261733</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1174-1	60.003	1.0.0.246	1	-1247767432	Full	3.0.3.80	3.0.3.80	12-03-2022	12/3/2022 6:44:26 AM	14:44:26	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	2					2	1	1		BlockProc2	List2	1											2	1	1				ShapeProc2	List4											1	Button1.png	Button2.png	Button3.png	Button4.png	Redtriangle3.png							{button2}	0							0	TrialProc	ShapeList2				7	1	1	0	{button2}	Button	1	33	98194	0	{Button3}	1213	99407	Shape
Wisconsin	1174	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">7669561261733</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1174-1	60.003	1.0.0.246	1	-1247767432	Full	3.0.3.80	3.0.3.80	12-03-2022	12/3/2022 6:44:26 AM	14:44:26	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	2					2	1	1		BlockProc2	List2	1											2	1	1				ShapeProc2	List4											2	Button1.png	Button2.png	Button3.png	Button4.png	Bluecircle3.png							{button1}	0							0	TrialProc	ShapeList2				1	1	2	0	{button1}	Button	9	33	101993	0	{Button2}	350	102343	Shape
Wisconsin	1174	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">7669561261733</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1174-1	60.003	1.0.0.246	1	-1247767432	Full	3.0.3.80	3.0.3.80	12-03-2022	12/3/2022 6:44:26 AM	14:44:26	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	2					2	1	1		BlockProc2	List2	1											2	1	1				ShapeProc2	List4											3	Button1.png	Button2.png	Button3.png	Button4.png	Greenstar3.png							{button4}	0							0	TrialProc	ShapeList2				3	1	3	0	{button4}	Button	1	33	104926	0	{Button1}	929	105855	Shape
Wisconsin	1174	1	<?xml version="1.0"?>\n<Clock xmlns:dt="urn:schemas-microsoft-com:datatypes"><Description dt:dt="string">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt="int">0</Timestamp><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt="r8">10000000</Frequency><Timestamp dt:dt="r8">7669561261733</Timestamp><Current dt:dt="r8">0</Current><DateUtc dt:dt="string">2022-12-03T06:44:25Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n	Wisconsin-1174-1	60.003	1.0.0.246	1	-1247767432	Full	3.0.3.80	3.0.3.80	12-03-2022	12/3/2022 6:44:26 AM	14:44:26	Keyboard	Keyboard	Keyboard	3.0.3.82	Keyboard	2					2	1	1		BlockProc2	List2	1											2	1	1				ShapeProc2	List4											4	Button1.png	Button2.png	Button3.png	Button4.png	Redcross2.png							{button3}	0							0	TrialProc	ShapeList2				5	1	4	0	{button3}	Button	2	33	108441	0	{Button1}	1614	110055	Shape
