ExperimentName,Subject,Session,Clock.Information,DataFile.Basename,Display.RefreshRate,ExperimentVersion,Group,RandomSeed,RuntimeVersion,RuntimeVersionExpected,SessionDate,SessionStartDateTimeUtc,SessionTime,StudioVersion,Block,List1,List1.Cycle,List1.Sample,List3,List3.Cycle,List3.Sample,Procedure[Block],Running[Block],Trial,CardIMG1[Trial],CardIMG2[Trial],CardIMG3[Trial],CardIMG4[Trial],CardStim[Trial],Category,CorrectAnswer[Trial],FeedbackDisplay2.ACC,FeedbackDisplay2.CRESP,FeedbackDisplay2.DurationError,FeedbackDisplay2.OnsetDelay,FeedbackDisplay2.OnsetTime,FeedbackDisplay2.OnsetToOnsetTime,FeedbackDisplay2.RESP,FeedbackDisplay2.RT,FeedbackDisplay2.RTTime,List2,List2.Cycle,List2.Sample,List4,List4.Cycle,List4.Sample,PracticeList,PracticeList.Cycle,PracticeList.Sample,Procedure[Trial],Running[Trial],FeedbackDisplay2.ACC,FeedbackDisplay2.CRESP,FeedbackDisplay2.DurationError,FeedbackDisplay2.OnsetDelay,FeedbackDisplay2.OnsetTime,FeedbackDisplay2.OnsetToOnsetTime,FeedbackDisplay2.RESP,FeedbackDisplay2.RT,SubTrial,CardIMG1[SubTrial],CardIMG2[SubTrial],CardIMG3[SubTrial],CardIMG4[SubTrial],CardStim[SubTrial],ColorList,ColorList.Cycle,ColorList.Sample,ColorList2,ColorList2.Cycle,ColorList2.Sample,CorrectAnswer[SubTrial],NonPerseverativeError,NumberList,NumberList.Cycle,NumberList.Sample,NumberList1,NumberList1.Cycle,NumberList1.Sample,PerseverativeError,Procedure[SubTrial],Running[SubTrial],ShapeList,ShapeList.Cycle,ShapeList.Sample,ShapeList1,ShapeList1.Cycle,ShapeList1.Sample,Stimulus.ACC,Stimulus.CRESP,Stimulus.DurationError,Stimulus.OnsetDelay,Stimulus.OnsetTime,Stimulus.OnsetToOnsetTime,Stimulus.RESP,Stimulus.RT,TrialType
Wisconsin,1163,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">1898126476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1163-4,60.012,1.0.0.260,1,1900782088,3.0.3.80,3.0.3.80,02-10-2023,,18:39:29,3.0.3.82,1,1.0,1.0,1.0,,,,Practiceploc,List1,1,Button1.png,Button2.png,Button3.png,Button4.png,Greencircle3.png,顏色,{button1},1.0,{button1},1.0,50.0,122842.0,0.0,{Button1},2330.0,125172.0,,,,,,,1.0,1.0,1.0,PracticeTrialProc,PracticeList,1.0,{button1},1.0,50.0,122842.0,0.0,{Button1},2330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1163,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">1898126476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1163-4,60.012,1.0.0.260,1,1900782088,3.0.3.80,3.0.3.80,02-10-2023,,18:39:29,3.0.3.82,1,1.0,1.0,1.0,,,,Practiceploc,List1,2,Button1.png,Button2.png,Button3.png,Button4.png,Redstar2.png,顏色,{button3},1.0,{button3},11.0,33.0,127807.0,0.0,{Button3},2005.0,129812.0,,,,,,,2.0,1.0,2.0,PracticeTrialProc,PracticeList,1.0,{button3},11.0,33.0,127807.0,0.0,{Button3},2005.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1163,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">1898126476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1163-4,60.012,1.0.0.260,1,1900782088,3.0.3.80,3.0.3.80,02-10-2023,,18:39:29,3.0.3.82,1,1.0,1.0,1.0,,,,Practiceploc,List1,3,Button1.png,Button2.png,Button3.png,Button4.png,Bluetriangle1.png,形狀,{button2},1.0,{button2},1.0,50.0,132406.0,0.0,{Button2},2566.0,134972.0,,,,,,,3.0,1.0,3.0,PracticeTrialProc,PracticeList,1.0,{button2},1.0,50.0,132406.0,0.0,{Button2},2566.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1163,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">1898126476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1163-4,60.012,1.0.0.260,1,1900782088,3.0.3.80,3.0.3.80,02-10-2023,,18:39:29,3.0.3.82,1,1.0,1.0,1.0,,,,Practiceploc,List1,4,Button1.png,Button2.png,Button3.png,Button4.png,greenstar2.png,形狀,{Button4},1.0,{Button4},1.0,33.0,137555.0,0.0,{Button4},2481.0,140036.0,,,,,,,4.0,1.0,4.0,PracticeTrialProc,PracticeList,1.0,{Button4},1.0,33.0,137555.0,0.0,{Button4},2481.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1163,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">1898126476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1163-4,60.012,1.0.0.260,1,1900782088,3.0.3.80,3.0.3.80,02-10-2023,,18:39:29,3.0.3.82,1,1.0,1.0,1.0,,,,Practiceploc,List1,5,Button1.png,Button2.png,Button3.png,Button4.png,BlueCross4.png,圖案數目,{Button2},1.0,{Button2},10.0,33.0,142620.0,0.0,{Button2},3032.0,145652.0,,,,,,,5.0,1.0,5.0,PracticeTrialProc,PracticeList,1.0,{Button2},10.0,33.0,142620.0,0.0,{Button2},3032.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1163,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">1898126476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1163-4,60.012,1.0.0.260,1,1900782088,3.0.3.80,3.0.3.80,02-10-2023,,18:39:29,3.0.3.82,1,1.0,1.0,1.0,,,,Practiceploc,List1,6,Button1.png,Button2.png,Button3.png,Button4.png,yellowcircle2.png,圖案數目,{Button1},1.0,{Button1},1.0,33.0,148236.0,0.0,{Button1},2136.0,150372.0,,,,,,,6.0,1.0,6.0,PracticeTrialProc,PracticeList,1.0,{Button1},1.0,33.0,148236.0,0.0,{Button1},2136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wisconsin,1163,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">1898126476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1163-4,60.012,1.0.0.260,1,1900782088,3.0.3.80,3.0.3.80,02-10-2023,,18:39:29,3.0.3.82,2,,,,,,,BlockProc2,List2,1,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,ColorProc2,List4,,,,,,,,,1.0,BUTTON1.png,BUTTON2.PNG,BUTTON3.png,BUTTON4.png,redstar4.png,,,,8.0,1.0,1.0,{Button3},0.0,,,,,,,0.0,TrialProc,ColorList2,,,,,,,1.0,{Button3},1.0,33.0,160466.0,0.0,{Button3},4298.0,color
Wisconsin,1163,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">1898126476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1163-4,60.012,1.0.0.260,1,1900782088,3.0.3.80,3.0.3.80,02-10-2023,,18:39:29,3.0.3.82,2,,,,,,,BlockProc2,List2,1,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,ColorProc2,List4,,,,,,,,,2.0,BUTTON1.png,BUTTON2.PNG,BUTTON3.png,BUTTON4.png,greencross4.png,,,,4.0,1.0,2.0,{Button1},0.0,,,,,,,0.0,TrialProc,ColorList2,,,,,,,1.0,{Button1},1.0,33.0,167348.0,0.0,{Button1},2216.0,color
Wisconsin,1163,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">1898126476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1163-4,60.012,1.0.0.260,1,1900782088,3.0.3.80,3.0.3.80,02-10-2023,,18:39:29,3.0.3.82,2,,,,,,,BlockProc2,List2,1,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,ColorProc2,List4,,,,,,,,,3.0,BUTTON1.png,BUTTON2.PNG,BUTTON3.png,BUTTON4.png,bluestar3.png,,,,2.0,1.0,3.0,{Button4},0.0,,,,,,,0.0,TrialProc,ColorList2,,,,,,,1.0,{Button4},10.0,33.0,172130.0,0.0,{Button4},1354.0,color
Wisconsin,1163,4,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">10000000</Frequency><Timestamp dt:dt=""r8"">1898126476</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2023-02-10T10:39:28Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n",Wisconsin-1163-4,60.012,1.0.0.260,1,1900782088,3.0.3.80,3.0.3.80,02-10-2023,,18:39:29,3.0.3.82,2,,,,,,,BlockProc2,List2,1,,,,,,,,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,,,ColorProc2,List4,,,,,,,,,4.0,BUTTON1.png,BUTTON2.PNG,BUTTON3.png,BUTTON4.png,Greencircle1.png,,,,3.0,1.0,4.0,{Button1},0.0,,,,,,,0.0,TrialProc,ColorList2,,,,,,,1.0,{Button1},10.0,50.0,176079.0,0.0,{Button1},1301.0,color
